district,bedrooms,bathrooms,price_vnd,area_m2,posting_year,posting_month,posting_quarter,month_sin,month_cos,days_since_posted,half_year,price_per_m2
Đông Anh,0,0,16.7,67.0,2024,1,1,0.49999999999999994,0.8660254037844387,730,0,249253731.3432836
Thường Tín,0,0,13.8,81.0,2025,9,3,-1.0,-1.8369701987210297e-16,117,1,170370370.37037036
Tây Hồ,0,0,64.5,140.0,2023,10,4,-0.8660254037844386,0.5000000000000001,793,1,460714285.71428573
Cam Ranh,0,0,7.0,120.0,2024,12,4,-2.4492935982947064e-16,1.0,380,1,58333333.333333336
Gia Lâm,0,0,3.2,55.0,2025,7,3,-0.4999999999999997,-0.8660254037844388,177,1,58181818.18181818
Nam Từ Liêm,0,0,4.0,41.0,2024,8,3,-0.8660254037844385,-0.5000000000000004,488,1,97560975.6097561
Mê Linh,0,0,16.3,250.0,2023,10,4,-0.8660254037844386,0.5000000000000001,806,1,65200000.0
Hoàng Mai,0,0,0.261,280.0,2023,5,2,0.49999999999999994,-0.8660254037844387,957,0,932142.8571428572
Bắc Từ Liêm,0,0,6.7,110.0,2025,9,3,-1.0,-1.8369701987210297e-16,98,1,60909090.90909091
Long Biên,0,0,6.6,120.0,2024,1,1,0.49999999999999994,0.8660254037844387,716,0,55000000.0
Bắc Từ Liêm,0,0,7.4,110.0,2025,3,1,1.0,6.123233995736766e-17,288,0,67272727.27272727
Nam Từ Liêm,0,0,50.4,143.0,2025,9,3,-1.0,-1.8369701987210297e-16,98,1,352447552.44755244
Hà Đông,0,0,16.4,300.0,2025,9,3,-1.0,-1.8369701987210297e-16,108,1,54666666.66666666
Quốc Oai,0,0,5.7,350.0,2025,5,2,0.49999999999999994,-0.8660254037844387,220,0,16285714.285714285
Long Biên,0,0,7.2,45.0,2024,12,4,-2.4492935982947064e-16,1.0,393,1,160000000.0
Đống Đa,0,0,11.1,42.0,2023,5,2,0.49999999999999994,-0.8660254037844387,967,0,264285714.2857143
Ba Đình,0,0,8.1,40.0,2023,8,3,-0.8660254037844385,-0.5000000000000004,882,1,202500000.0
Thạch Thất,0,0,15.2,220.0,2024,11,4,-0.5000000000000004,0.8660254037844384,421,1,69090909.0909091
Tây Hồ,0,0,6.0,40.0,2023,1,1,0.49999999999999994,0.8660254037844387,1080,0,150000000.0
Gia Lâm,0,0,3.2,70.0,2023,5,2,0.49999999999999994,-0.8660254037844387,948,0,45714285.71428572
Thanh Oai,0,0,3.5,44.0,2024,12,4,-2.4492935982947064e-16,1.0,378,1,79545454.54545455
Gia Lâm,0,0,2.5,43.0,2023,1,1,0.49999999999999994,0.8660254037844387,1087,0,58139534.88372093
Móng Cái,0,0,6.1,90.0,2023,8,3,-0.8660254037844385,-0.5000000000000004,883,1,67777777.77777778
Đống Đa,0,0,10.5,93.0,2024,9,3,-1.0,-1.8369701987210297e-16,471,1,112903225.80645162
Tây Hồ,0,0,10.9,98.0,2025,1,1,0.49999999999999994,0.8660254037844387,347,0,111224489.79591836
Thanh Xuân,0,0,6.1,71.0,2024,12,4,-2.4492935982947064e-16,1.0,386,1,85915492.95774648
Tây Hồ,0,0,66.0,197.0,2023,10,4,-0.8660254037844386,0.5000000000000001,821,1,335025380.7106599
Hai Bà Trưng,0,0,4.8,70.0,2025,2,1,0.8660254037844386,0.5000000000000001,308,0,68571428.57142857
Tây Hồ,0,0,47.6,126.0,2023,12,4,-2.4492935982947064e-16,1.0,741,1,377777777.7777778
Thanh Xuân,0,0,11.0,163.0,2025,4,2,0.8660254037844387,-0.4999999999999998,260,0,67484662.57668711
Hai Bà Trưng,0,0,5.0,70.0,2024,12,4,-2.4492935982947064e-16,1.0,388,1,71428571.42857143
Nam Từ Liêm,0,0,13.2,64.0,2025,8,3,-0.8660254037844385,-0.5000000000000004,145,1,206250000.0
Tây Hồ,0,0,54.0,150.0,2024,12,4,-2.4492935982947064e-16,1.0,382,1,360000000.0
Tây Hồ,0,0,43.0,146.0,2024,10,4,-0.8660254037844386,0.5000000000000001,453,1,294520547.94520545
Tây Hồ,0,0,51.1,150.0,2023,5,2,0.49999999999999994,-0.8660254037844387,957,0,340666666.6666667
Tây Hồ,0,0,41.0,146.0,2024,2,1,0.8660254037844386,0.5000000000000001,681,0,280821917.8082192
Gia Lâm,0,0,1.7,36.0,2023,11,4,-0.5000000000000004,0.8660254037844384,787,1,47222222.222222224
Thanh Xuân,0,0,5.1,64.0,2023,10,4,-0.8660254037844386,0.5000000000000001,805,1,79687500.0
Thạch Thất,0,0,16.7,220.0,2025,11,4,-0.5000000000000004,0.8660254037844384,35,1,75909090.9090909
Long Biên,0,0,10.3,80.0,2024,3,1,1.0,6.123233995736766e-17,641,0,128750000.0
Tây Hồ,0,0,98.5,150.0,2025,9,3,-1.0,-1.8369701987210297e-16,103,1,656666666.6666666
Cầu Giấy,0,0,7.6,95.0,2024,11,4,-0.5000000000000004,0.8660254037844384,402,1,80000000.0
Hai Bà Trưng,0,0,30.6,96.0,2025,6,2,1.2246467991473532e-16,-1.0,203,0,318750000.0
Móng Cái,0,0,6.5,90.0,2024,8,3,-0.8660254037844385,-0.5000000000000004,516,1,72222222.22222222
Tây Hồ,0,0,13.8,73.0,2024,10,4,-0.8660254037844386,0.5000000000000001,445,1,189041095.89041096
Hai Bà Trưng,0,0,7.4,82.0,2024,7,3,-0.4999999999999997,-0.8660254037844388,526,1,90243902.43902439
Long Biên,0,0,6.3,42.0,2023,9,3,-1.0,-1.8369701987210297e-16,848,1,150000000.0
Đống Đa,0,0,5.0,100.0,2025,3,1,1.0,6.123233995736766e-17,293,0,50000000.0
Tây Hồ,0,0,68.4,185.0,2023,11,4,-0.5000000000000004,0.8660254037844384,775,1,369729729.7297298
